ENTITY_ID;OPERATING_COMPANY;ADDRESS;ZIP_CODE;CITY;LONGITUDE;LATITUDE;START_UP_DATE;LOADER_TYPE;NUMBER_OF_CHARGING_POINTS;CONNECTION_POWER_KW;PLUG_TYPES_1;POWER_1_KW;PLUG_TYPES_2;POWER_2_KW;PLUG_TYPES_3;POWER_3_KW;PLUG_TYPES_4;POWER_4_KW
1040;ewag kamenz Energie und Wasserversorgung AG Kamenz;Markt 2;1917;Kamenz;14.095198;51.269848;11.12.17;Normalladeeinrichtung;2;33.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1041;ewag kamenz Energie und Wasserversorgung AG Kamenz;Schulplatz 5;1917;Kamenz;14.094098;51.271285;11.12.17;Normalladeeinrichtung;2;33.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1042;ewag kamenz Energie und Wasserversorgung AG Kamenz;Macherstraße 55/ Parkplatz Garnisonsplatz;1917;Kamenz;14.105646;51.282579;11.12.17;Normalladeeinrichtung;2;33.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1043;Autobahn Tank & Rast GmbH;Oberlausitz Nord;2625;Bautzen;14.331987;51.199484;04.05.17;Schnellladeeinrichtung;2;250.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;42.0;;0.0;;0.0
1044;Autobahn Tank & Rast GmbH;Oberlausitz Süd;2625;Bautzen;14.328689;51.198549;28.07.17;Schnellladeeinrichtung;2;250.0;DC Kupplung Combo, DC CHAdeMO;50.0;AC Kupplung Typ 2;42.0;;0.0;;0.0
1045;Autohaus Kiethe OHG;Löbauer Strasse 62;2625;Bautzen;14.455208;51.177675;10.11.16;Normalladeeinrichtung;1;3.7;AC Steckdose Typ 2;3.7;;0.0;;0.0;;0.0
1046;Autohaus Ruffert GmbH;Muskauer Str. 31;2625;Bautzen;14.437878;51.18594;29.09.18;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1047;ENSO Energie Sachsen Ost AG;Niedermarkt 1a;2681;Schirgiswalde-Kirschau;14.432227;51.077641;22.10.18;Normalladeeinrichtung;4;33.0;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1048;Autohaus Ruffert GmbH;Weststr. 2;2708;Löbau;14.655267;51.107259;29.09.18;Normalladeeinrichtung;2;22.0;AC Steckdose Typ 2;11.0;AC Steckdose Typ 2;11.0;;0.0;;0.0
1049;ENSO Energie Sachsen Ost AG;Bautzener Str. 2;2742;Neusalza-Spremberg;14.530535;51.037525;30.06.16;Normalladeeinrichtung;4;43.6;AC Steckdose Typ 2;22.0;AC Schuko;3.7;AC Steckdose Typ 2;22.0;AC Schuko;3.7
1050;Stadtwerke Zittau GmbH;Breite Straße;2763;Zittau;14.80493333;50.8948833;01.07.16;Normalladeeinrichtung;2;75.0;AC Steckdose Typ 2, AC Schuko;22.0;AC Steckdose Typ 2, AC Schuko;22.0;;0.0;;0.0
1051;Versorgungsbetriebe Hoyerswerda GmbH;Markt 1;2977;Hoyerswerda;14.24506;51.43887;13.08.18;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1052;Versorgungsbetriebe Hoyerswerda GmbH;Lausitzer Platz 1;2977;Hoyerswerda;14.2623;51.43923;13.08.18;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1053;envia Mitteldeutsche Energie AG;Annahofer Graben 1-3;3099;Kolitz;14.28885;51.71768;31.12.14;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1054;Städtische Werke Spremberg (Lausitz) GmbH;Georgenstraße 37;3130;Spremberg;14.379096;51.573321;04.08.17;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
1055;Städtische Werke Spremberg (Lausitz) GmbH;An der Lusatia 23-24;3130;Spremberg;14.3584;51.55888;16.03.18;Normalladeeinrichtung;2;44.0;AC Steckdose Typ 2;22.0;AC Steckdose Typ 2;22.0;;0.0;;0.0
